Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
1411,Aufzuteilende Vorsteuer 7%,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer 7%
1412,Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb
1413,Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19 %,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer aus innergemeinschaftlichem Erwerb 19 %
1414,Aufzuteilende Vorsteuer 5 %,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer 5 %
1415,Aufzuteilende Vorsteuer 16%,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer 16%
1416,Aufzuteilende Vorsteuer 19%,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer 19%
1417,Aufzuteilende Vorsteuer nach §§13a/13b UStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer nach §§13a/13b UStG
1418,Aufzuteilende Vorsteuer nach §§13a/13b UStG 16 %,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer nach §§13a/13b UStG 16 %
1419,Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG 19 %,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Aufzuteilende Vorsteuer:Aufzuteilende Vorsteuer nach §§ 13a und 13b UStG 19 %
1420,Umsatzsteuerforderungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Umsatzsteuerforderungen
1422,USt-Forderungen Vorjahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Umsatzsteuerforderungen:USt-Forderungen Vorjahr
1425,USt-Forderungen frühere Jahre,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Umsatzsteuerforderungen:USt-Forderungen frühere Jahre
1427,Forderungen aus entrichteten Verbrauchsteuern,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Umsatzsteuerforderungen:Forderungen aus entrichteten Verbrauchsteuern
1431,Vorsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Vorsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager
1432,Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne UStId-Nr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Abziehbare Vorsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne UStId-Nr
1433,Bezahlte Einfuhrumsatzsteuer,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Bezahlte Einfuhrumsatzsteuer
1434,Vorsteuer im Folgejahr abziehbar,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Vorsteuer im Folgejahr abziehbar
1435,Steuerüberzahlungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Steuerüberzahlungen
1436,Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts
1440,Steuererstattungsanspruch gegenüber anderen EG-Ländern,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Steuererstattungsanspruch gegenüber anderen EG-Ländern
1450,Körperschaftsteuerrückforderungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Körperschaftsteuerrückforderungen
1456,Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen an das Finanzamt aus abgeführtem Bauabzugsbetrag
1457,Forderung gegenüber Bundesagentur für Arbeit,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderung gegenüber Bundesagentur für Arbeit
1460,Geldtransit,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Geldtransit
1480,Gegenkonto Vorsteuer §4/3 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Gegenkonto Vorsteuer §4/3 EStG
1481,Auflösung Vorsteuer aus Vorjahr §4/3 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Auflösung Vorsteuer aus Vorjahr §4/3 EStG
1482,Vorsteuer aus Investitionen §4/3 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Vorsteuer aus Investitionen §4/3 EStG
1483,Gegenkonto für Vorsteuer nach Durchschnittssätzen für §4 Abs. 3 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Gegenkonto für Vorsteuer nach Durchschnittssätzen für §4 Abs. 3 EStG
1484,Vorsteuer nach allgemeinen Durchschnittssätzen UStVA Kz. 63,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Vorsteuer nach allgemeinen Durchschnittssätzen UStVA Kz. 63
1486,"Verrechnungskonto Gewinnermittlung §4/3 EStG, nicht ergebniswirksam","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Gewinnermittlung §4/3 EStG, nicht ergebniswirksam"
1487,Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG
1490,Verrechnungskonto Ist-Versteuerung,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Ist-Versteuerung
1491,Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Ist-Versteuerung:Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG
1494,Forderungen gegen Gesellschaft/Gesamthand,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Ist-Versteuerung:Forderungen gegen Gesellschaft/Gesamthand
1495,Verrechnungskonto erhaltene Anzahlungen bei Buchung über Debitoren-Konto,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Ist-Versteuerung:Verrechnungskonto erhaltene Anzahlungen bei Buchung über Debitoren-Konto
1498,Überleitung Kostenstellen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Verrechnungskonto Ist-Versteuerung:Überleitung Kostenstellen
,III. Wertpapiere,Aktiva:B. Umlaufvermögen:III. Wertpapiere
1500,01. Anteile an verbundenen Unternehmen (Umlaufvermögen),Aktiva:B. Umlaufvermögen:III. Wertpapiere:01. Anteile an verbundenen Unternehmen (Umlaufvermögen)
1504,Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft,Aktiva:B. Umlaufvermögen:III. Wertpapiere:01. Anteile an verbundenen Unternehmen (Umlaufvermögen):Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft
1510,02. sonstige Wertpapiere,Aktiva:B. Umlaufvermögen:III. Wertpapiere:02. sonstige Wertpapiere
1520,Finanzwechsel,Aktiva:B. Umlaufvermögen:III. Wertpapiere:02. sonstige Wertpapiere:Finanzwechsel
1525,Andere Wertpapiere mit unwesentlichen Wertschwankungen im Sinne Textziffer 18 DRS 2,Aktiva:B. Umlaufvermögen:III. Wertpapiere:02. sonstige Wertpapiere:Andere Wertpapiere mit unwesentlichen Wertschwankungen im Sinne Textziffer 18 DRS 2
1530,Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition,Aktiva:B. Umlaufvermögen:III. Wertpapiere:02. sonstige Wertpapiere:Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition
1550,Schecks,Aktiva:B. Umlaufvermögen:III. Wertpapiere:02. sonstige Wertpapiere:Schecks
,"IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks","Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks"
1600,Kasse,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Kasse"
1610,Nebenkasse 1,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Kasse:Nebenkasse 1"
1620,Nebenkasse 2,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Kasse:Nebenkasse 2"
1700,Bank (Postbank),"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank (Postbank)"
1710,Bank (Postbank 1),"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank (Postbank):Bank (Postbank 1)"
1720,Bank (Postbank 2),"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank (Postbank):Bank (Postbank 2)"
1730,Bank (Postbank 3),"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank (Postbank):Bank (Postbank 3)"
1780,LZB-Guthaben,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:LZB-Guthaben"
1790,Bundesbankguthaben,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bundesbankguthaben"
1800,Bank,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank"
1810,Bank 1,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank:Bank 1"
1820,Bank 2,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank:Bank 2"
1830,Bank 3,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank:Bank 3"
1840,Bank 4,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank:Bank 4"
1850,Bank 5,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Bank:Bank 5"
1890,Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition"
1895,Verbindlichkeiten gegenüber Kreditinstituten,"Aktiva:B. Umlaufvermögen:IV. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks:Verbindlichkeiten gegenüber Kreditinstituten"
,I. Vorräte,Aktiva:B. Umlaufvermögen:I. Vorräte
1000,"01. Roh-, Hilfs- und Betriebsstoffe (Bestand)","Aktiva:B. Umlaufvermögen:I. Vorräte:01. Roh-, Hilfs- und Betriebsstoffe (Bestand)"
1040,"02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand)","Aktiva:B. Umlaufvermögen:I. Vorräte:02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
1050,Unfertige Erzeugnisse,"Aktiva:B. Umlaufvermögen:I. Vorräte:02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand):Unfertige Erzeugnisse"
1080,Unfertige Leistungen,"Aktiva:B. Umlaufvermögen:I. Vorräte:02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand):Unfertige Leistungen"
1090,In Ausführung befindl. Bauaufträge,"Aktiva:B. Umlaufvermögen:I. Vorräte:02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand):In Ausführung befindl. Bauaufträge"
1095,In Arbeit befindliche Aufträge,"Aktiva:B. Umlaufvermögen:I. Vorräte:02. Unfertige Erzeugnisse, unfertige Leistungen (Bestand):In Arbeit befindliche Aufträge"
1100,03. Fertige Erzeugnisse und Waren (Bestand),Aktiva:B. Umlaufvermögen:I. Vorräte:03. Fertige Erzeugnisse und Waren (Bestand)
1110,Fertige Erzeugnisse (Bestand),Aktiva:B. Umlaufvermögen:I. Vorräte:03. Fertige Erzeugnisse und Waren (Bestand):Fertige Erzeugnisse (Bestand)
1140,Waren (Bestand),Aktiva:B. Umlaufvermögen:I. Vorräte:03. Fertige Erzeugnisse und Waren (Bestand):Waren (Bestand)
1180,04. Geleistete Anzahlungen auf Vorräte,Aktiva:B. Umlaufvermögen:I. Vorräte:04. Geleistete Anzahlungen auf Vorräte
1181,Geleistete Anzahlungen 7% Vorsteuer,Aktiva:B. Umlaufvermögen:I. Vorräte:04. Geleistete Anzahlungen auf Vorräte:Geleistete Anzahlungen 7% Vorsteuer
1182,Geleistete Anzahlungen 5% Vorsteuer,Aktiva:B. Umlaufvermögen:I. Vorräte:04. Geleistete Anzahlungen auf Vorräte:Geleistete Anzahlungen 5% Vorsteuer
1184,Geleistete Anzahlungen 16% Vorsteuer,Aktiva:B. Umlaufvermögen:I. Vorräte:04. Geleistete Anzahlungen auf Vorräte:Geleistete Anzahlungen 16% Vorsteuer
1186,Geleistete Anzahlungen 19% Vorsteuer,Aktiva:B. Umlaufvermögen:I. Vorräte:04. Geleistete Anzahlungen auf Vorräte:Geleistete Anzahlungen 19% Vorsteuer
1190,05. Erhaltene Anzahlungen auf Bestellungen,Aktiva:B. Umlaufvermögen:I. Vorräte:05. Erhaltene Anzahlungen auf Bestellungen
,C. Rechnungsabgrenzungsposten Umlaufvermögen,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen
1900,Aktive Rechnungsabgrenzung,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen:Aktive Rechnungsabgrenzung
1920,Als Aufwand berücksichtigte Zölle und Verbrauchsteuern auf Vorräte,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen:Aktive Rechnungsabgrenzung:Als Aufwand berücksichtigte Zölle und Verbrauchsteuern auf Vorräte
1930,Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen:Aktive Rechnungsabgrenzung:Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen
1940,Damnum/Disagio,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen:Aktive Rechnungsabgrenzung:Damnum/Disagio
1950,Abgrenzung aktive latente Steuern,Aktiva:C. Rechnungsabgrenzungsposten Umlaufvermögen:Abgrenzung aktive latente Steuern
,Passiva,Passiva
,A. Eigenkapital,Passiva:A. Eigenkapital
,a) Personengesellschaft,Passiva:A. Eigenkapital:a) Personengesellschaft
,III. Privat Vollhafter/Einzelunternehmer,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer
2100,Privatentnahmen allgemein,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Privatentnahmen allgemein
2101,Privatentnahmen allgemein (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Privatentnahmen allgemein (nur Einzelunternehmen)
2110,2110 Privatentnahmen allgemein,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2110 Privatentnahmen allgemein
2111,2111 Privatentnahmen allgemein (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2111 Privatentnahmen allgemein (nur Einzelunternehmen)
2120,2120 Privatentnahmen allgemein,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2120 Privatentnahmen allgemein
2121,2121 Privatentnahmen allgemein (nur Einzelunternehmen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2121 Privatentnahmen allgemein (nur Einzelunternehmen
2130,Unentgeltliche Wertabgaben,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Unentgeltliche Wertabgaben
2131,Unentgeltliche Wertabgaben (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Unentgeltliche Wertabgaben (nur Einzelunternehmen)
2140,2140 Unentgeltliche Wertabgaben,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2140 Unentgeltliche Wertabgaben
2141,2141 Unentgeltliche Wertabgaben (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2141 Unentgeltliche Wertabgaben (nur Einzelunternehmen)
2150,Privatsteuern,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Privatsteuern
2151,Privatsteuern (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Privatsteuern (nur Einzelunternehmen)
2160,2160 Privatsteuern,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2160 Privatsteuern
2161,2161 Privatsteuern (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2161 Privatsteuern (nur Einzelunternehmen)
2170,2170 Privatsteuern,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2170 Privatsteuern
2171,2171 Privatsteuern (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2171 Privatsteuern (nur Einzelunternehmen)
2180,Privateinlagen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Privateinlagen
2181,2181 Privateinlagen (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2181 Privateinlagen (nur Einzelunternehmen)
2190,2190 Privateinlagen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2190 Privateinlagen
2191,2191 Privateinlagen (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2191 Privateinlagen (nur Einzelunternehmen)
2200,Sonderausgaben beschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Sonderausgaben beschränkt abzugsfähig
2201,Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen)
2210,2210 Sonderausgaben beschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2210 Sonderausgaben beschränkt abzugsfähig
2211,2211 Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2211 Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen)
2220,2220 Sonderausgaben beschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2220 Sonderausgaben beschränkt abzugsfähig
2221,2221 Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2221 Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen)
2230,Sonderausgaben unbeschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Sonderausgaben unbeschränkt abzugsfähig
2231,Sonderausgaben unbeschränkt abzugsfähig (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Sonderausgaben unbeschränkt abzugsfähig (nur Einzelunternehmen)
2240,2240 Sonderausgaben unbeschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2240 Sonderausgaben unbeschränkt abzugsfähig
2241,2241 Sonderausgaben unbeschränkt abzugsfähig,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2241 Sonderausgaben unbeschränkt abzugsfähig
2250,"Zuwendungen, Spenden -79","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Zuwendungen, Spenden -79"
2251,"Zuwendungen, Spenden (nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Zuwendungen, Spenden (nur Einzelunternehmen)"
2260,"Zuwendungen, Spenden","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Zuwendungen, Spenden"
2261,"2261 Zuwendungen, Spenden (nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2261 Zuwendungen, Spenden (nur Einzelunternehmen)"
2270,"2270 Zuwendungen, Spenden","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2270 Zuwendungen, Spenden"
2271,"2271 Zuwendungen, Spenden (nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2271 Zuwendungen, Spenden (nur Einzelunternehmen)"
2280,Außergewöhnliche Belastungen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Außergewöhnliche Belastungen
2281,2281 Außergewöhnliche Belastungen (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2281 Außergewöhnliche Belastungen (nur Einzelunternehmen)
2290,2290 Außergewöhnliche Belastungen,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2290 Außergewöhnliche Belastungen
2291,2291 Außergewöhnliche Belastungen (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2291 Außergewöhnliche Belastungen (nur Einzelunternehmen)
2300,Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Grundstücksaufwand
2301,Grundstücksaufwand (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Grundstücksaufwand (nur Einzelunternehmen)
2309,"Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
2310,2310 Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2310 Grundstücksaufwand
2311,2311 Grundstücksaufwand (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2311 Grundstücksaufwand (nur Einzelunternehmen)
2319,"2319 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2319 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
2320,2320 Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2320 Grundstücksaufwand
2321,2321 Grundstücksaufwand (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2321 Grundstücksaufwand (nur Einzelunternehmen)
2329,"2329 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2329 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
2330,2330 Grundstücksaufwand,Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2330 Grundstücksaufwand
2331,2331 Grundstücksaufwand (nur Einzelunternehmen),Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2331 Grundstücksaufwand (nur Einzelunternehmen)
2339,"2339 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)","Passiva:A. Eigenkapital:a) Personengesellschaft:III. Privat Vollhafter/Einzelunternehmer:2339 Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen)"
